,Gene name,Gene description,dN with Chimpanzee,dS with Chimpanzee,dN/dS with Chimpanzee,dN with Mouse,dS with Mouse,dN/dS with Mouse,present in DrugBank
13533,UNC5D,unc-5 netrin receptor D [Source:HGNC Symbol;Acc:HGNC:18634],0.0005,0.0168,0.0298,0.0167,0.4643,0.036,False
13534,MSI1,musashi RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7330],0.0,0.0,,0.0025,0.3584,0.007,False
13535,PRLR,prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446],0.0,0.0,,0.2069,0.4656,0.4444,True
13536,AK5,adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365],0.0009,0.0034,0.2647,0.0444,0.5853,0.0759,False
13537,HELB,DNA helicase B [Source:HGNC Symbol;Acc:HGNC:17196],0.0024,0.0152,0.1579,0.2257,0.848,0.2662,False
13538,GRAMD1C,GRAM domain containing 1C [Source:HGNC Symbol;Acc:HGNC:25252],0.0026,0.0221,0.1176,0.1116,0.6485,0.1721,False
13539,PDILT,"protein disulfide isomerase like, testis expressed [Source:HGNC Symbol;Acc:HGNC:27338]",0.0111,0.0149,0.745,0.1798,0.6565,0.2739,False
13540,KLK13,kallikrein related peptidase 13 [Source:HGNC Symbol;Acc:HGNC:6361],0.0016,0.016,0.1,0.129,0.9026,0.1429,False
13541,ADGRL1,adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973],0.0196,0.0632,0.3101,0.0089,0.746,0.0119,False
13542,NAV3,neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998],0.0013,0.0115,0.113,0.0309,0.5449,0.0567,False
13543,WNT16,Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267],0.0039,0.0205,0.1902,0.0461,0.5641,0.0817,False
13544,DPH2,diphthamide biosynthesis 2 [Source:HGNC Symbol;Acc:HGNC:3004],0.0054,0.0097,0.5567,0.1021,0.5572,0.1832,False
13545,GBE1,"1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]",0.0021,0.0096,0.2188,0.0492,0.5529999999999999,0.089,False
13546,SRSF9,serine and arginine rich splicing factor 9 [Source:HGNC Symbol;Acc:HGNC:10791],0.0,0.0,,0.0103,0.2917,0.0353,False
13547,DPP7,dipeptidyl peptidase 7 [Source:HGNC Symbol;Acc:HGNC:14892],0.0025,0.0291,0.0859,0.1268,1.1356,0.1117,False
13548,EREG,epiregulin [Source:HGNC Symbol;Acc:HGNC:3443],0.0031,0.0173,0.1792,0.1166,0.5835,0.1998,False
13549,GRIP1,glutamate receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18708],0.0026,0.0077,0.3377,0.0188,0.4546,0.0414,False
13550,RASA1,RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871],0.0013,0.0081,0.1605,0.0219,0.3537,0.0619,False
13551,TRIAP1,TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937],0.0,0.0,,0.0053,0.6797,0.0078,False
13552,COX6A1,cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277],0.0,0.0,,0.1033,0.6756,0.1529,False
13553,INTS7,integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484],0.0321,0.0639,0.5023,0.023,0.644,0.0357,False
13554,GATC,glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068],0.0077,0.0345,0.2232,0.165,1.0257,0.1609,False
13555,RNF166,ring finger protein 166 [Source:HGNC Symbol;Acc:HGNC:28856],0.0,0.0,,0.0052,0.9863,0.0053,False
13556,TOMM40,translocase of outer mitochondrial membrane 40 [Source:HGNC Symbol;Acc:HGNC:18001],0.0012,0.0253,0.0474,0.0343,0.5589999999999999,0.0614,False
13557,TDRD5,tudor domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20614],0.0045,0.0118,0.3814,0.1245,0.4959,0.2511,False
13558,NOL11,nucleolar protein 11 [Source:HGNC Symbol;Acc:HGNC:24557],0.0007,0.0083,0.0843,0.1463,0.5427,0.2696,False
13559,MTHFD1L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055],0.0694,0.1188,0.5842,0.0724,0.6383,0.1134,False
13560,SHROOM3,shroom family member 3 [Source:HGNC Symbol;Acc:HGNC:30422],0.0095,0.0174,0.546,0.18,0.7093,0.2538,False
13561,CLEC7A,C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558],0.0079,0.0095,0.8316,0.2721,0.7146,0.3808,False
13562,GNAL,G protein subunit alpha L [Source:HGNC Symbol;Acc:HGNC:4388],0.0318,0.0851,0.3737,0.0584,0.6625,0.0882,False
13563,CTU1,cytosolic thiouridylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:29590],0.0011,0.0418,0.0263,0.0756,1.4015,0.0539,False
13564,CYTIP,cytohesin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:9506],0.0,0.0,,0.1093,0.529,0.2066,False
13565,NECTIN2,nectin cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:9707],0.0043,0.0164,0.2622,0.1509,0.7993,0.1888,False
13566,SYCP1,synaptonemal complex protein 1 [Source:HGNC Symbol;Acc:HGNC:11487],0.005,0.0135,0.3704,0.1477,0.3942,0.3747,False
13567,TBC1D22B,TBC1 domain family member 22B [Source:HGNC Symbol;Acc:HGNC:21602],0.0215,0.0347,0.6196,0.0055,0.5835,0.0094,False
13568,TMEM217,transmembrane protein 217 [Source:HGNC Symbol;Acc:HGNC:21238],0.0043,0.0,inf,0.3486,2.1603,0.1614,False
13569,CDH13,cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753],0.0006,0.01,0.06,0.0431,0.5857,0.0736,False
13570,FCHO1,FCH domain only 1 [Source:HGNC Symbol;Acc:HGNC:29002],0.0279,0.0832,0.3353,0.0725,1.0019,0.0724,False
13571,CNTNAP1,contactin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:8011],0.0,0.0,,0.0333,0.5472,0.0609,False
13572,MTMR2,myotubularin related protein 2 [Source:HGNC Symbol;Acc:HGNC:7450],0.0,0.0,,0.013000000000000001,0.4185,0.0311,False
13573,MED31,mediator complex subunit 31 [Source:HGNC Symbol;Acc:HGNC:24260],0.0,0.0,,0.0109,0.3589,0.0304,False
13574,SSPN,sarcospan [Source:HGNC Symbol;Acc:HGNC:11322],0.0018,0.0231,0.0779,0.0839,0.7012,0.1197,False
13575,TXNDC17,thioredoxin domain containing 17 [Source:HGNC Symbol;Acc:HGNC:28218],0.0,0.0,,0.1166,0.5071,0.2299,False
13576,TSHB,thyroid stimulating hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:12372],0.0093,0.0,inf,0.0875,0.6218,0.1407,False
13577,CCR10,C-C motif chemokine receptor 10 [Source:HGNC Symbol;Acc:HGNC:4474],0.0,0.0,,0.0643,0.634,0.1014,False
13578,CCNH,cyclin H [Source:HGNC Symbol;Acc:HGNC:1594],0.0,0.0,,0.05,0.4764,0.105,False
13579,DTL,denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288],0.0018,0.0152,0.1184,0.0543,0.4061,0.1337,False
13580,APAF1,apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576],0.0026,0.0059,0.4407,0.0706,0.4896,0.1442,False
13581,MED8,mediator complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:19971],0.0054,0.0,inf,0.0178,0.3936,0.0452,False
13582,ACSM5,acyl-CoA synthetase medium chain family member 5 [Source:HGNC Symbol;Acc:HGNC:26060],0.0501,0.1134,0.4418,0.0806,0.5494,0.1467,False
13583,MPPE1,metallophosphoesterase 1 [Source:HGNC Symbol;Acc:HGNC:15988],0.0023,0.0068,0.3382,0.1669,0.7072,0.236,False
13584,ITPR2,"inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]",0.0007,0.01,0.07,0.0205,0.9164,0.0224,False
13585,FAM163A,family with sequence similarity 163 member A [Source:HGNC Symbol;Acc:HGNC:28274],0.0053,0.0,inf,0.073,0.2884,0.2531,False
13586,TPRG1,tumor protein p63 regulated 1 [Source:HGNC Symbol;Acc:HGNC:24759],0.0019,0.0109,0.1743,0.1007,0.4335,0.2323,False
13587,P2RY14,purinergic receptor P2Y14 [Source:HGNC Symbol;Acc:HGNC:16442],0.0045,0.0286,0.1573,0.0979,0.8232,0.1189,False
13588,CAP2,cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039],0.0042,0.0022,1.9091,0.0584,0.6148,0.095,False
13589,IGSF10,immunoglobulin superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:26384],0.0049,0.0097,0.5052,0.2303,0.544,0.4233,True
13590,TOR1AIP2,torsin 1A interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24055],0.0032,0.0022,1.4545,0.2063,0.5688,0.3627,False
13591,HRC,histidine rich calcium binding protein [Source:HGNC Symbol;Acc:HGNC:5178],0.0239,0.0212,1.1274,0.3679,1.2795,0.2875,False
13592,ALOX15B,arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434],0.0047,0.0181,0.2597,0.1309,0.726,0.1803,False
13593,ANO2,anoctamin 2 [Source:HGNC Symbol;Acc:HGNC:1183],0.0043,0.0181,0.2376,0.045,0.513,0.0877,False
13594,CEP131,centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511],0.0068,0.033,0.2061,0.1476,1.2046,0.1225,False
13595,POGZ,pogo transposable element derived with ZNF domain [Source:HGNC Symbol;Acc:HGNC:18801],0.0,0.0,,0.0348,0.3696,0.0942,False
13596,GPR171,G protein-coupled receptor 171 [Source:HGNC Symbol;Acc:HGNC:30057],0.0,0.0,,0.059000000000000004,0.5507,0.1071,False
13597,GPR87,G protein-coupled receptor 87 [Source:HGNC Symbol;Acc:HGNC:4538],0.0028,0.0148,0.1892,0.0458,0.5858,0.0782,False
13598,BHLHE41,basic helix-loop-helix family member e41 [Source:HGNC Symbol;Acc:HGNC:16617],0.0,0.0,,0.1014,0.6359,0.1595,False
13599,PDZK1,PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821],0.0039,0.0079,0.4937,0.1245,0.6188,0.2012,False
13600,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309],0.0,0.0,,0.0119,0.3409,0.0349,False
13601,MED12L,mediator complex subunit 12L [Source:HGNC Symbol;Acc:HGNC:16050],0.0009,0.0092,0.0978,0.0232,0.4396,0.0528,False
13602,SCP2,sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606],0.0016,0.0077,0.2078,0.0612,0.5398,0.1134,False
13603,PIEZO1,piezo type mechanosensitive ion channel component 1 [Source:HGNC Symbol;Acc:HGNC:28993],0.0066,0.0574,0.115,0.0968,1.4049,0.0689,False
13604,UVRAG,UV radiation resistance associated [Source:HGNC Symbol;Acc:HGNC:12640],0.0015,0.0139,0.1079,0.0651,0.5116,0.1272,False
13605,SURF4,surfeit 4 [Source:HGNC Symbol;Acc:HGNC:11476],0.0391,0.0371,1.0539,0.0034,0.6312,0.0054,False
13606,ARCN1,archain 1 [Source:HGNC Symbol;Acc:HGNC:649],0.0017,0.0031,0.5484,0.0046,0.33,0.0139,False
13607,DAXX,death domain associated protein [Source:HGNC Symbol;Acc:HGNC:2681],0.0007,0.0037,0.1892,0.1581,0.6415,0.2465,False
13608,FAM149A,family with sequence similarity 149 member A [Source:HGNC Symbol;Acc:HGNC:24527],0.0177,0.0044,4.0227,0.2086,0.8169,0.2554,False
13609,CD160,CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013],0.0048,0.0249,0.1928,0.2228,0.3533,0.6306,False
13610,TOR1AIP1,torsin 1A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29456],0.0026,0.0106,0.2453,0.1733,0.5469,0.3169,False
13611,RNF115,ring finger protein 115 [Source:HGNC Symbol;Acc:HGNC:18154],0.0027,0.0056,0.4821,0.0355,0.3045,0.1166,False
13612,ADAM8,ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215],0.0074,0.037000000000000005,0.2,0.2548,1.2166,0.2094,False
13613,PACC1,proton activated chloride channel 1 [Source:HGNC Symbol;Acc:HGNC:25593],0.0058,0.0149,0.3893,0.0461,0.7442,0.0619,False
13614,MROH2A,maestro heat like repeat family member 2A [Source:HGNC Symbol;Acc:HGNC:27936],0.063,0.1453,0.4336,0.11,0.8138,0.1352,False
13615,ABCC6,ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57],0.0049,0.0192,0.2552,0.1215,0.7765,0.1565,False
13616,POLR3C,RNA polymerase III subunit C [Source:HGNC Symbol;Acc:HGNC:30076],0.0,0.0,,0.0347,0.5781,0.06,False
13617,NENF,neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384],0.0,0.0,,0.0493,0.5892,0.0837,False
13618,IGDCC3,immunoglobulin superfamily DCC subclass member 3 [Source:HGNC Symbol;Acc:HGNC:9700],0.0011,0.017,0.0647,0.0669,0.4864,0.1375,False
13619,CTU2,cytosolic thiouridylase subunit 2 [Source:HGNC Symbol;Acc:HGNC:28005],0.0085,0.0191,0.445,0.1367,0.9716,0.1407,False
13620,DOCK1,dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987],0.0008,0.0159,0.0503,0.0168,0.7239,0.0232,False
13621,TTC36,tetratricopeptide repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:33708],0.0153,0.0352,0.4347,0.0631,0.4666,0.1352,False
13622,SCN9A,sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597],0.0007,0.0039,0.1795,0.0357,0.6064,0.0589,True
13623,P2RY13,purinergic receptor P2Y13 [Source:HGNC Symbol;Acc:HGNC:4537],0.0298,0.0286,1.042,0.1286,0.7959999999999999,0.1616,False
13624,ESF1,ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898],0.0068,0.0061,1.1148,0.1074,0.4945,0.2172,False
13625,UBE4A,ubiquitination factor E4A [Source:HGNC Symbol;Acc:HGNC:12499],0.002,0.0046,0.4348,0.0134,0.3085,0.0434,False
13626,ATF3,activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785],0.0,0.0,,0.0232,0.5161,0.045,False
13627,AC118549.1,zinc finger ZZ-type containing 3 [Source:NCBI gene;Acc:26009],0.0014,0.0034,0.4118,0.0665,0.3933,0.1691,False
13628,NUDT17,nudix hydrolase 17 [Source:HGNC Symbol;Acc:HGNC:26618],0.0169,0.0033,5.1212,0.1963,0.405,0.4847,False
13629,SPART,spartin [Source:HGNC Symbol;Acc:HGNC:18514],0.0013,0.0245,0.0531,0.0755,0.8403,0.0898,False
13630,NIFK,nucleolar protein interacting with the FHA domain of MKI67 [Source:HGNC Symbol;Acc:HGNC:17838],0.0046,0.0093,0.4946,0.3262,1.0268,0.3177,False
13631,PIAS3,protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861],0.0007,0.0119,0.0588,0.0156,0.3861,0.0404,False
13632,SOWAHB,sosondowah ankyrin repeat domain family member B [Source:HGNC Symbol;Acc:HGNC:32958],0.0065,0.0234,0.2778,0.21,0.6238,0.3366,False
13633,APTX,aprataxin [Source:HGNC Symbol;Acc:HGNC:15984],0.0031,0.0027,1.1481,0.099,0.3556,0.2784,False
13634,INSYN2A,inhibitory synaptic factor 2A [Source:HGNC Symbol;Acc:HGNC:33859],0.002,0.0221,0.0905,0.0813,0.7012,0.1159,False
13635,GOLGA8A,golgin A8 family member A [Source:HGNC Symbol;Acc:HGNC:31972],0.1423,0.2238,0.6358,0.579,1.9672,0.2943,False
13636,IFT46,intraflagellar transport 46 [Source:HGNC Symbol;Acc:HGNC:26146],0.0594,0.1245,0.4771,0.0285,0.6743,0.0423,False
13637,KAT8,lysine acetyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:17933],0.0019,0.0156,0.1218,0.0365,0.84,0.0435,False
13638,LCK,"LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]",0.0,0.0,,0.0156,0.6979,0.0224,True
13639,FAM71A,family with sequence similarity 71 member A [Source:HGNC Symbol;Acc:HGNC:26541],0.0186,0.0119,1.563,0.3706,0.7453,0.4972,False
13640,ABLIM1,actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78],0.0006,0.0128,0.0469,0.044000000000000004,0.4712,0.0934,False
13641,CTDSP2,CTD small phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:17077],0.0,0.0,,0.0232,0.4863,0.0477,False
13642,PARG,poly(ADP-ribose) glycohydrolase [Source:HGNC Symbol;Acc:HGNC:8605],0.0159,0.0321,0.4953,0.0663,0.3557,0.1864,False
13643,BATF3,basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915],0.0,0.0,,0.0705,1.1161,0.0632,False
13644,ANKRD35,ankyrin repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:26323],0.0088,0.0066,1.3333,0.1034,0.5415,0.191,False
13645,TSPAN2,tetraspanin 2 [Source:HGNC Symbol;Acc:HGNC:20659],0.0644,0.0793,0.8121,0.0321,0.4345,0.0739,False
13646,NSL1,NSL1 component of MIS12 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24548],0.0072,0.0036,2.0,0.2069,0.7311,0.283,False
13647,SNF8,SNF8 subunit of ESCRT-II [Source:HGNC Symbol;Acc:HGNC:17028],0.0,0.0,,0.0071,0.4693,0.0151,False
13648,NAE1,NEDD8 activating enzyme E1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:621],0.0115,0.0274,0.4197,0.0149,0.3229,0.0461,False
13649,RNF10,ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055],0.0016,0.0067,0.2388,0.0389,0.2717,0.1432,False
13650,NOTUM,"notum, palmitoleoyl-protein carboxylesterase [Source:HGNC Symbol;Acc:HGNC:27106]",0.0008,0.0479,0.0167,0.0421,1.0793,0.039,False
13651,CLASP1,cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088],0.0117,0.0246,0.4756,0.0095,0.4801,0.0198,True
13652,TMEM52B,transmembrane protein 52B [Source:HGNC Symbol;Acc:HGNC:26438],0.0055,0.0115,0.4783,0.1122,0.5689,0.1972,False
13653,TATDN3,TatD DNase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27010],0.0016,0.0107,0.1495,0.0848,0.4487,0.189,False
13654,SCN1A,sodium voltage-gated channel alpha subunit 1 [Source:HGNC Symbol;Acc:HGNC:10585],0.0005,0.0125,0.04,0.0087,0.4823,0.018,False
13655,NGF,nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808],0.0,0.0,,0.081,0.5013,0.1616,True
13656,SALL1,spalt like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10524],0.0051,0.0062,0.8226,0.0503,0.4345,0.1158,False
13657,CDKN3,cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791],0.0066,0.0,inf,0.0489,0.4126,0.1185,False
13658,NARF,nuclear prelamin A recognition factor [Source:HGNC Symbol;Acc:HGNC:29916],0.0946,0.1873,0.5051,0.0844,0.6856,0.1231,False
13659,RPL35A,ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345],0.0,0.0,,0.0043,0.4284,0.01,False
13660,ATP23,ATP23 metallopeptidase and ATP synthase assembly factor homolog [Source:HGNC Symbol;Acc:HGNC:29452],0.006,0.0136,0.4412,0.1035,0.9076,0.114,False
13661,TMEM25,transmembrane protein 25 [Source:HGNC Symbol;Acc:HGNC:25890],0.0139,0.0366,0.3798,0.0805,0.4945,0.1628,False
13662,ARHGAP10,Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099],0.0018,0.0113,0.1593,0.0468,0.5297,0.0884,False
13663,EPB41L3,erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380],0.0049,0.0137,0.3577,0.0677,0.7204,0.094,False
13664,WNT2B,Wnt family member 2B [Source:HGNC Symbol;Acc:HGNC:12781],0.0,0.0,,0.0219,0.5706,0.0384,False
13665,IQCG,IQ motif containing G [Source:HGNC Symbol;Acc:HGNC:25251],0.1149,0.1444,0.7957,0.23800000000000002,0.7306,0.3258,False
13666,ACVR1C,activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123],0.0055,0.0253,0.2174,0.037000000000000005,0.6611,0.056,False
13667,PAX8,paired box 8 [Source:HGNC Symbol;Acc:HGNC:8622],0.0029,0.0417,0.0695,0.0133,0.433,0.0307,False
13668,ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13 [Source:HGNC Symbol;Acc:HGNC:1366],0.0057,0.0236,0.2415,0.2042,0.7837,0.2606,False
13669,VANGL1,VANGL planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:15512],0.0009,0.0134,0.0672,0.0214,0.5329,0.0402,False
13670,ST7L,suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441],0.0032,0.0026,1.2308,0.0603,0.3522,0.1712,False
13671,SPAG9,sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524],0.0008,0.0059,0.1356,0.0161,0.4104,0.0392,False
13672,COQ5,"coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]",0.0061,0.0033,1.8485,0.0941,0.5559,0.1693,False
13673,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24600],0.0008,0.0036,0.2222,0.0697,0.3833,0.1818,False
13674,RERGL,RERG like [Source:HGNC Symbol;Acc:HGNC:26213],0.0,0.0,,0.1264,0.5997,0.2108,False
13675,MED17,mediator complex subunit 17 [Source:HGNC Symbol;Acc:HGNC:2375],0.1254,0.1172,1.07,0.0206,0.7675,0.0268,False
13676,QTRT2,queuine tRNA-ribosyltransferase accessory subunit 2 [Source:HGNC Symbol;Acc:HGNC:25771],0.0025,0.0021,1.1905,0.0777,0.4187,0.1856,False
13677,JUP,junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207],0.0011,0.0251,0.0438,0.0068,0.9569,0.0071,True
13678,STOML2,stomatin like 2 [Source:HGNC Symbol;Acc:HGNC:14559],0.0,0.0,,0.0281,0.4003,0.0702,False
13679,PIK3C2G,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma [Source:HGNC Symbol;Acc:HGNC:8973],0.0072,0.0109,0.6606,0.1072,0.5377,0.1994,True
13680,TIGD5,tigger transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:18336],0.0019,0.0209,0.0909,0.0734,1.2823,0.0572,False
13681,NAPRT,nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450],0.024,0.0739,0.3248,0.0986,0.7875,0.1252,False
13682,CASQ2,calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513],0.0012,0.013999999999999999,0.0857,0.0517,0.5929,0.0872,True
13683,CEP350,centrosomal protein 350 [Source:HGNC Symbol;Acc:HGNC:24238],0.0026,0.0076,0.3421,0.1072,0.5131,0.2089,False
13684,GBX1,gastrulation brain homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4185],0.0,0.0,,0.0363,0.46299999999999997,0.0784,False
13685,NHLH2,nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818],0.0,0.0,,0.0087,0.9869,0.0088,False
13686,IGDCC4,immunoglobulin superfamily DCC subclass member 4 [Source:HGNC Symbol;Acc:HGNC:13770],0.0026,0.0105,0.2476,0.0686,0.6252,0.1097,False
13687,CCDC191,coiled-coil domain containing 191 [Source:HGNC Symbol;Acc:HGNC:29272],0.0096,0.0075,1.28,0.1842,0.5409,0.3405,False
13688,MOS,"MOS proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:7199]",0.0026,0.0038,0.6842,0.1487,0.8979,0.1656,False
13689,ASB10,ankyrin repeat and SOCS box containing 10 [Source:HGNC Symbol;Acc:HGNC:17185],0.003,0.0077,0.3896,0.0971,0.4583,0.2119,False
13690,PAFAH1B2,platelet activating factor acetylhydrolase 1b catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:8575],0.0,0.0,,0.002,0.418,0.0048,False
13691,WDR60,WD repeat domain 60 [Source:HGNC Symbol;Acc:HGNC:21862],0.0198,0.0473,0.4186,0.1409,0.7204,0.1956,False
13692,FLVCR1,feline leukemia virus subgroup C cellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:24682],0.0086,0.0131,0.6565,0.1188,0.5785,0.2054,False
13693,SLC22A15,solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301],0.0008,0.0137,0.0584,0.0321,0.4696,0.0684,False
13694,SCN11A,sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583],0.0047,0.0112,0.4196,0.1741,0.7364,0.2364,True
13695,ZDHHC23,zinc finger DHHC-type containing 23 [Source:HGNC Symbol;Acc:HGNC:28654],0.0013,0.0073,0.1781,0.065,0.4808,0.1352,False
13696,CDT1,chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576],0.0153,0.0389,0.3933,0.1798,1.5532,0.1158,False
13697,KMT2A,lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132],0.0039,0.0158,0.2468,0.0459,0.3714,0.1236,False
13698,ABRACL,ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230],0.0,0.0,,0.0391,0.4464,0.0876,False
13699,PARP14,poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232],0.0056,0.0088,0.6364,0.2515,0.6927,0.3631,False
13700,ITGA10,integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135],0.0026,0.0097,0.268,0.0697,0.4013,0.1737,False
13701,POP5,"POP5 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:17689]",0.0,0.0,,0.0638,0.8401,0.0759,False
13702,SYT1,synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509],0.0,0.0,,0.0123,0.4731,0.026,False
13703,AP001273.2,"novel protein, C11orf54-MED17 readthrough",0.1634,0.1876,0.871,0.0508,0.8769,0.0579,False
13704,VASH2,vasohibin 2 [Source:HGNC Symbol;Acc:HGNC:25723],0.0,0.0,,0.0134,0.6067,0.0221,False
13705,PLAG1,PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045],0.0,0.0,,0.0203,0.4019,0.0505,False
13706,REXO4,"REX4 homolog, 3'-5' exonuclease [Source:HGNC Symbol;Acc:HGNC:12820]",0.0059,0.0173,0.341,0.2369,0.8452,0.2803,False
13707,C11orf54,chromosome 11 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:30204],0.0013,0.0133,0.0977,0.0643,0.5589,0.115,False
13708,MAB21L3,mab-21 like 3 [Source:HGNC Symbol;Acc:HGNC:26787],0.0051,0.0185,0.2757,0.1426,0.8437,0.169,False
13709,GIP,gastric inhibitory polypeptide [Source:HGNC Symbol;Acc:HGNC:4270],0.0028,0.0098,0.2857,0.1654,0.715,0.2313,False
13710,SET,SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760],0.0132,0.0304,0.4342,0.0285,0.3728,0.0764,False
